xbj,Q2,z,zi,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad
0.45,4,0.4,0.525,0.0653086,0.0166638,0.220228,0.0471077,0.052477,0.0218299,0.343993,0.0751546,-nan,-nan,0,0,0.00059841,0.00441625,0.00815534,1.16982,0.00468916,0.00646532,0.00892055,0.0256165,1.15532,0.000480836,0.000781948,0.00354856,0.006553,1.16982,0.00732439,0.0100987,0.0139338,0.0400126,1.15532
0.45,4,0.4,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18563,0,0,0,0,1.1651,0,0,0,0,1.18563,0,0,0,0,1.1651
0.45,4,0.4,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19885,0,0,0,0,1.1686,0,0,0,0,1.19885,0,0,0,0,1.1686
0.45,4,0.4,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20949,0,0,0,0,1.16582,0,0,0,0,1.20949,0,0,0,0,1.16582
0.45,4,0.4,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21753,0,0,0,0,1.15675,0,0,0,0,1.21753,0,0,0,0,1.15675
0.45,4,0.4,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22299,0,0,0,0,1.14141,0,0,0,0,1.22299,0,0,0,0,1.14141
0.45,4,0.4,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22586,0,0,0,0,1.11978,0,0,0,0,1.22586,0,0,0,0,1.11978
0.45,4,0.4,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22614,0,0,0,0,1.09188,0,0,0,0,1.22614,0,0,0,0,1.09188
0.45,4,0.4,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22383,0,0,0,-0,1.05769,0,0,0,0,1.22383,0,0,0,-0,1.05769
0.45,4,0.4,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21893,0,0,0,-0,1.01722,0,0,0,0,1.21893,0,0,0,-0,1.01722
0.45,4,0.5,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869295,0,-0,0,-0,0.71206,0,-0,0,0,0.869295,0,-0,0,-0,0.71206
0.45,4,0.5,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910998,0,-0,0,-0,0.784651,0,-0,0,0,0.910998,0,-0,0,-0,0.784651
0.45,4,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950111,0,-0,0,0,0.850961,0,-0,0,0,0.950111,0,-0,0,0,0.850961
0.45,4,0.5,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986636,0,-0,0,0,0.91099,0,-0,0,0,0.986636,0,-0,0,0,0.91099
0.45,4,0.5,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02057,0,-0,0,0,0.964737,0,-0,0,0,1.02057,0,-0,0,0,0.964737
