Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,Residual
4.0,3.16808,0.325,0.338366,0.425,0.419415,140.0,4.47321,1.30094,4.0334,4.68397,7.25137,131.166,72.0861,0.397073,0.397073,8.77895,8.45363,13.1978,12.0808,7.07937,4.36041,0.328083,0.406387,2.09308,-0.3254309163221073
4.0,3.42575,0.375,0.377791,0.425,0.42179,140.0,7.33802,1.27947,6.7188,22.2749,30.2894,131.166,72.0861,1.32472,1.32472,29.894,26.9693,45.5131,43.1846,6.52915,4.03314,0.366412,0.408574,2.03876,2.0244653174812193
4.0,3.71415,0.425,0.425235,0.425,0.423019,140.0,5.4645,0.788903,5.12732,26.9489,39.4552,131.166,72.0861,1.22062,1.22062,35.8853,31.9624,55.1056,49.7068,5.90631,3.66358,0.408106,0.405513,1.96894,1.0726489884362425
4.0,3.99055,0.475,0.472535,0.425,0.423179,140.0,6.94359,1.31589,6.57619,21.7045,29.9015,131.166,72.0861,0.802471,0.802471,23.1746,19.9939,35.8155,31.901,5.33842,3.3195,0.450656,0.402915,1.90395,1.8383151905509014
4.0,4.33828,0.525,0.513796,0.425,0.418992,140.0,4.76885,1.56327,4.48892,5.13894,7.81136,131.166,72.0861,0.204712,0.204712,5.27213,4.50588,8.15324,7.12839,4.9875,3.1191,0.48441,0.389342,1.88487,0.17240488045746497
4.0,3.36833,0.375,0.383347,0.475,0.459752,140.0,4.00862,1.42878,3.6358,2.89934,4.63595,131.166,72.0861,0.207652,0.207652,4.15399,3.90345,6.48688,6.00471,6.30371,3.70473,0.369267,0.443543,2.15391,-0.2393950015732246
4.0,3.61106,0.425,0.427756,0.475,0.467865,140.0,5.35361,1.24764,4.94913,9.64457,14.1985,131.166,72.0861,0.542263,0.542263,13.122,11.6917,20.7795,18.5974,5.71675,3.33721,0.409618,0.447871,2.10505,0.9502126877471389
4.0,3.94457,0.475,0.468877,0.475,0.464121,140.0,4.97143,1.34974,4.48027,6.49155,9.75285,131.166,72.0861,0.513532,0.513532,8.24803,7.60448,13.1504,11.8559,5.34847,3.14373,0.440967,0.437966,2.07993,0.6237715416382493
4.0,3.17431,0.325,0.337606,0.425,0.430952,130.0,3.51909,1.07304,3.23637,4.48908,7.46915,154.833,64.4966,0.247772,0.247772,9.78022,9.02151,14.8277,14.1334,7.11241,4.30819,0.327283,0.417677,2.15987,-1.1762082546759247
4.0,3.46193,0.375,0.374143,0.425,0.434447,130.0,3.44873,0.676142,3.16892,11.1465,18.6632,154.833,64.4966,0.609891,0.609891,18.2533,16.4555,28.0908,26.0029,6.67508,4.03962,0.361009,0.419692,2.14227,-1.7476214257047074
4.0,3.91215,0.425,0.423475,0.425,0.434677,130.0,3.12178,0.793674,2.85163,7.06105,12.2004,154.833,64.4966,0.391215,0.391215,12.3163,10.5723,19.2217,16.7008,6.2092,3.77091,0.407135,0.41842,2.13968,-1.7448789884209377
4.0,4.25486,0.475,0.468176,0.425,0.438256,130.0,7.44866,3.931,7.07169,3.35512,4.54647,154.833,64.4966,0.11372,0.11372,3.15593,2.62751,4.97067,4.29149,5.71821,3.46455,0.447849,0.4196,2.12277,0.7792542127972906
4.0,3.17435,0.325,0.338423,0.475,0.474296,130.0,3.8368,1.00302,3.2873,6.06473,9.82634,154.833,64.4966,0.663261,0.663261,11.9769,10.5917,18.6656,15.6181,7.08996,4.02018,0.328257,0.459362,2.37254,-0.49514807865321986
4.0,3.42595,0.375,0.37669,0.475,0.473961,130.0,4.68138,0.715122,4.17389,20.8522,31.863,154.833,64.4966,1.70581,1.70581,32.045,29.7283,50.6477,47.3425,6.55582,3.74752,0.363393,0.456982,2.29909,0.6389456097334866
4.0,3.75292,0.425,0.42418,0.475,0.47573,130.0,3.71744,0.524886,3.3705,23.5156,38.4701,154.833,64.4966,1.51442,1.51442,33.1286,28.1023,53.0444,44.0507,5.9791,3.43068,0.407469,0.456748,2.24358,-0.723882711300444
4.0,4.13054,0.475,0.469297,0.475,0.474755,130.0,3.04769,0.588732,2.76771,10.662,18.5643,154.833,64.4966,0.614204,0.614204,13.0306,11.1949,21.0509,18.5515,5.55401,3.19932,0.448018,0.45258,2.22707,-1.6601933007544383
4.0,3.17271,0.325,0.338435,0.525,0.522021,130.0,6.39454,2.39436,5.46853,4.1382,5.81709,154.833,64.4966,0.447372,0.447372,8.21503,7.52532,13.1753,12.4212,7.08643,3.71456,0.3279,0.506398,2.61049,1.062779680977126
4.0,3.4225,0.375,0.37698,0.525,0.523621,130.0,3.41661,0.485942,2.99382,17.8266,29.9353,154.833,64.4966,1.44061,1.44061,26.1226,22.4865,42.6009,37.2209,6.54291,3.45397,0.36389,0.505117,2.53621,-0.6430715835758618
