Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,RY_noexc,RY_nodelta,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,4.96333,0.00780618,0.35,0.475000,0.468421,8.53956e-05,0.5,0.575000,0.573947,0.000113841,90,3.03602,1.27884,2.77365,0.573623,0.557107,0.543046,0.556155,0.550124,0.0774964,2.39968,4.18338,2.51266,0.24841,4.44647,0.363161,111.463,62.5913,0.0205196,0.065909,0.112633,0.0442871,0.166971,0.112633,2.17735,1.66564,3.781,3.03604,6.51734,3.09215,0.451042,0.552598,3.24562,6.87247
4,3.70099,0.00821527,0.35,0.325000,0.330212,9.02566e-05,0.5,0.625000,0.61589,6.98483e-05,90,4.12162,1.13693,3.36771,0.630615,0.592818,0.556741,0.582333,0.57687,0.0517095,5.69322,9.02803,6.72345,0.337487,11.1768,0.511482,111.463,62.5913,0.637888,0.23733,0.698748,1.23712,0.612321,0.698748,9.41383,7.99733,15.7464,13.5528,8.39619,3.67143,0.321518,0.600632,3.6854,21.3534
4,4.08785,0.0167338,0.35,0.375000,0.374187,9.88602e-05,0.5,0.625000,0.620393,9.55758e-05,90,4.43631,0.91021,3.46189,0.644394,0.597957,0.552365,0.592597,0.587574,0.038367,11.0245,17.1082,12.2788,0.479839,19.6398,0.695054,111.463,62.5913,0.737363,0.265875,1.47715,1.4222,0.70244,1.47715,14.6889,11.7481,25.132,21.0923,7.72152,3.3604,0.362697,0.602564,3.61705,19.1027
4,4.56035,0.0134145,0.35,0.425000,0.421632,0.000100629,0.5,0.625000,0.621382,9.69781e-05,90,4.91833,1.39545,4.3028,0.663614,0.638676,0.615583,0.634954,0.619958,0.0526341,6.18526,9.32057,6.73824,0.345922,10.5107,0.524191,111.463,62.5913,0.274578,0.18849,0.571515,0.459786,0.505454,0.571515,7.42492,6.21765,12.9686,10.5182,7.14111,3.09838,0.407219,0.60103,3.58743,18.1276
4,4.95712,0.00720737,0.35,0.475000,0.467167,7.62035e-05,0.5,0.625000,0.622514,9.85656e-05,90,4.61382,2.14792,4.1602,0.651722,0.632362,0.61543,0.633443,0.62851,0.0868457,2.11622,3.24711,2.15997,0.207998,3.33004,0.292179,111.463,62.5913,0.0223986,0.0111702,0.122846,0.0325963,0.0336459,0.122846,1.62079,1.24353,2.8786,2.29944,6.53862,2.82299,0.449939,0.598233,3.52568,16.0942
4,3.98062,0.00990748,0.35,0.375000,0.37529,8.70676e-05,0.5,0.675000,0.65997,2.62364e-05,90,2.1174,0.921218,1.56973,0.509596,0.461374,0.416622,0.471327,0.458951,0.0738498,1.56645,3.07391,1.65981,0.178082,3.22916,0.27626,111.463,62.5913,0.042473,0.0277411,0.193242,0.0491142,0.0782039,0.193242,1.94693,1.46425,3.3792,2.77129,7.50962,3.01044,0.36233,0.640567,3.73515,22.9917
4,3.36999,0.00929891,0.35,0.275000,0.280289,7.67849e-05,0.6,0.525000,0.529955,7.46211e-05,80,4.41289,0.752206,3.92488,0.643404,0.621445,0.601816,0.623026,0.616465,0.0318836,13.8794,21.5717,14.2263,0.555096,22.2434,0.631174,108.44,94.6964,0.198406,0.116367,1.13944,0.271089,0.33689,1.13944,18.3743,16.6701,29.0274,26.2764,9.54064,4.85268,0.274245,0.519513,3.40098,-6.71238
4,3.83722,0.0165802,0.35,0.325000,0.322718,9.80853e-05,0.6,0.525000,0.533316,6.74029e-05,80,4.57693,0.751888,4.09402,0.650225,0.629356,0.610729,0.629553,0.625686,0.0306627,15.87,24.407,16.1972,0.600876,25.0555,0.686108,108.44,94.6964,0.183833,0.10483,1.23063,0.283201,0.284125,1.23063,19.87,17.5329,32.1756,28.1479,8.93761,4.54189,0.314873,0.520707,3.38351,-7.19159
4,4.29489,0.00898025,0.35,0.375000,0.36738,8.04796e-05,0.6,0.525000,0.537737,4.30452e-05,80,3.17572,0.867732,2.90208,0.581923,0.565349,0.551066,0.568213,0.563983,0.0505564,4.91743,8.4503,4.99257,0.353169,8.56152,0.413092,108.44,94.6964,0.0468876,0.015242,0.272987,0.0478136,0.0424869,0.272987,5.34323,4.41821,8.83771,7.17562,8.28291,4.19345,0.357428,0.523485,3.35519,-7.96828
4,3.37618,0.00788287,0.35,0.275000,0.282233,7.03954e-05,0.6,0.575000,0.574037,0.000104167,80,4.41678,0.671857,3.71065,0.643569,0.610928,0.580655,0.61465,0.608008,0.0284516,16.6405,25.8565,17.4951,0.599034,27.2244,0.66353,108.44,94.6964,0.375458,0.356764,1.75622,0.50569,0.711473,1.75622,23.1587,19.8422,37.1858,33.089,9.47454,4.43898,0.276208,0.562039,3.66644,0.568925
4,3.77771,0.0158353,0.35,0.325000,0.325344,9.92277e-05,0.6,0.575000,0.574879,0.000103301,80,4.29186,0.4832,3.76149,0.638199,0.613476,0.59127,0.61479,0.609308,0.0210836,30.4345,47.688,31.3439,0.817807,49.3825,0.916467,108.44,94.6964,0.523967,0.27407,2.59373,0.784101,0.733503,2.59373,41.1094,36.0755,67.6795,60.6144,8.72164,4.11257,0.316926,0.560968,3.56363,-2.25085
