Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,RY,RY_rho,RY_1p8rho,error,yield_neg,yield_pos,yield_neg_data,error_neg,yield_pos_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp
4,4.09261,0.0240014,0.4,0.425000,0.423299,0.000101061,0.5,0.525000,0.524111,0.000102927,400,5.12184,0.715312,4.72271,0.671119,0.65607,0.643061,0.02579,28.932,43.11,24.9559,0.831529,38.6788,1.09969,120.391,75.3767,0.834007,0.223963,1.50433,1.6791,0.710825,1.50433,31.2087,25.7786,51.9043,43.6917,6.46231,3.40637,0.408282,0.504873,2.70395,1.7795
4,4.43613,0.0186247,0.4,0.475000,0.47102,9.34571e-05,0.5,0.525000,0.523377,9.90623e-05,400,5.09002,1.03857,4.58634,0.669968,0.650608,0.633577,0.0377074,14.2477,21.2663,11.8202,0.604191,18.37,0.786981,120.391,75.3767,0.266147,0.0635912,0.89364,0.395223,0.219193,0.89364,14.1455,11.408,23.8144,19.8831,5.86699,3.09639,0.450861,0.501513,2.6296,-1.01903
4,4.08299,0.0241376,0.4,0.425000,0.422932,9.68742e-05,0.5,0.575000,0.572807,0.000100694,400,7.28253,1.37149,6.52424,0.734102,0.714944,0.697444,0.0323221,22.8741,31.1593,20.6011,0.741297,29.6839,0.928705,120.391,75.3767,1.03231,0.259464,1.80113,2.7188,0.854246,1.80113,24.0641,20.3139,41.161,34.492,6.45718,3.12926,0.407018,0.551415,2.9511,11.0826
4,4.45668,0.0194419,0.4,0.475000,0.466406,7.06538e-05,0.5,0.575000,0.56805,8.34731e-05,400,4.84265,1.35163,4.3971,0.660735,0.642734,0.626881,0.0518579,6.8002,10.2919,6.0256,0.400105,9.82871,0.534593,120.391,75.3767,0.228534,0.0950269,0.437596,0.924804,0.304334,0.437596,6.98528,5.85723,12.0806,10.0942,5.98164,2.93021,0.445065,0.542711,2.89659,9.03064
4,3.92834,0.0158339,0.4,0.375000,0.372557,9.99848e-05,0.6,0.525000,0.530028,8.8293e-05,390,9.89153,2.74677,9.35968,0.784041,0.775444,0.768057,0.0427015,20.9126,26.6728,17.9519,0.803911,23.3216,1.02907,107.597,55.8068,0.178615,0.133593,0.861543,0.402077,0.422414,0.861543,20.9548,17.6753,34.499,29.0981,7.50002,3.87548,0.361294,0.51403,2.98091,-6.51395
4,4.32496,0.00833455,0.4,0.425000,0.418217,8.52426e-05,0.6,0.525000,0.534768,6.11716e-05,390,4.07419,1.32523,3.71004,0.628446,0.610897,0.595724,0.0609839,6.25373,9.95111,5.07016,0.457579,8.48584,0.634293,107.597,55.8068,0.0516145,0.0271323,0.340855,0.193679,0.0835173,0.340855,5.92191,4.72657,9.93257,8.19335,6.90272,3.55609,0.403952,0.517149,2.95035,-7.47233
4,4.55576,0.0108623,0.4,0.475000,0.465303,6.71305e-05,0.6,0.575000,0.573791,8.20413e-05,390,4.93837,1.74,4.55299,0.664368,0.649245,0.636157,0.0653361,6.30094,9.48411,5.0535,0.465941,7.84489,0.614866,107.597,55.8068,0.0502361,0.0409995,0.3168,0.174867,0.133598,0.3168,4.85816,3.82601,8.43753,6.70477,6.11863,2.95664,0.445819,0.550199,2.99724,-6.00179
4,4.01468,0.0110224,0.4,0.375000,0.371717,9.2507e-05,0.7,0.575000,0.590222,2.16351e-05,380,5.93339,2.93538,5.39906,0.697988,0.680819,0.665611,0.0892463,4.14124,5.9331,3.31949,0.424906,4.80458,0.452679,107.933,61.4134,0.0411233,0.00664449,0.252168,0.0949723,0.0225019,0.252168,3.61175,2.85341,6.10873,4.82585,7.6697,3.53641,0.361378,0.573385,3.40178,-8.59208
4,3.15837,0.00620676,0.45,0.325000,0.330286,7.61218e-05,0.4,0.325000,0.33734,3.19319e-05,140,3.40251,0.74199,3.09717,0.594732,0.577296,0.56212,0.040622,8.83928,14.8626,9.1245,0.471248,15.035,0.63459,131.166,72.0861,0.0328774,0.0365545,0.660345,0.165497,0.170732,0.660345,16.0746,16.467,22.9082,22.6557,7.28957,5.0084,0.320593,0.327344,1.71746,-6.57439
4,3.53547,0.0121906,0.45,0.375000,0.37355,0.000102481,0.4,0.325000,0.339149,2.81373e-05,140,5.28598,1.29964,5.05764,0.676932,0.668788,0.662005,0.0452158,10.4509,15.4386,9.6607,0.532749,15.0709,0.666364,131.166,72.0861,0.0411935,0.0350227,0.322599,0.169883,0.163874,0.322599,15.8271,14.515,22.888,21.8481,6.81227,4.68348,0.361116,0.327707,1.70837,-7.06861
4,3.98624,0.0106564,0.45,0.425000,0.421823,9.28184e-05,0.4,0.325000,0.339605,2.78508e-05,140,4.31125,1.24919,4.16754,0.639043,0.632692,0.627449,0.0542524,6.07501,9.50642,5.77595,0.392661,9.18906,0.523253,131.166,72.0861,0.0139336,0.0155811,0.154855,0.0873493,0.0881201,0.154855,7.91949,7.49115,11.577,10.9768,6.34765,4.37185,0.406015,0.326745,1.70816,-7.08017
4,3.15026,0.00528216,0.45,0.325000,0.331935,7.10656e-05,0.4,0.375000,0.373105,0.000102779,140,5.26569,0.841737,4.9343,0.676225,0.664215,0.654013,0.0294132,20.2567,29.9555,19.4313,0.660533,30.1391,0.862294,131.166,72.0861,0.122797,0.0824075,0.953385,0.387006,0.330025,0.953385,32.7866,31.1185,47.8499,46.9978,7.227,4.7376,0.322014,0.361548,1.88683,2.63895
4,3.44496,0.0128255,0.45,0.375000,0.375397,0.000100622,0.4,0.375000,0.374657,9.95079e-05,140,4.49088,0.522202,4.18911,0.64668,0.63366,0.62256,0.0217297,36.6102,56.6126,34.1442,0.934786,54.2186,1.23661,131.166,72.0861,0.169227,0.197557,1.81366,0.471988,0.794255,1.81366,51.822,47.8121,76.4552,71.5121,6.61822,4.35568,0.362132,0.361048,1.83144,-0.37385
4,3.79615,0.023261,0.45,0.425000,0.423296,0.000101251,0.4,0.375000,0.376949,9.57611e-05,140,5.25427,0.73114,4.94531,0.675825,0.664629,0.65514,0.0256116,31.2339,46.216,28.483,0.887641,44.3096,1.15865,131.166,72.0861,0.145106,0.220572,1.32601,0.690084,0.993709,1.32601,41.775,37.6065,62.2215,57.388,6.05657,3.98975,0.406616,0.36144,1.79936,-2.11893
